"filename", "language", "Dart", "YAML", "JSON", "C++", "CMake", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ninob\Documents\stockcontrollerterminal\functions\deleteProducts\pubspec.yaml", "YAML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\ninob\Documents\stockcontrollerterminal\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\Theme\themes.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 94
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\dependency_injection\dependency_injection.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\dialogs\dialogs_file.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 126
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\Mapper.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 39
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\Presenter.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 11
